H	T	d	Uc	L
3.66	4.17	27.83	1.16	37.3033
1.72	4.18	28.22	-1.18	16.6864
1.39	4.22	32.26	0.55	32.7285
1.68	4.32	43.14	-0.57	25.2209
1.93	4.37	46.19	1.35	41.4243
1.65	4.39	20.54	0.08	31.6009
3.06	4.5	39.63	-0.2	30.6914
5.5	4.53	35.84	2.31	52.547
3.1	4.54	28.43	1.92	49.3515
1.51	4.58	25.73	0.88	40.8757
3.13	4.61	42.46	1.95	50.8356
2.11	4.64	25.2	1.86	49.8768
4.22	4.66	44.23	0.26	37.5546
4.27	4.66	44.98	1.35	47.8404
4.06	4.67	29.57	0.38	38.5777
1.84	4.68	38.37	-1.12	24.0812
2.55	4.69	45.51	2.11	53.1179
3.07	4.74	46.87	1.57	50.2132
1.15	4.76	38.56	-0.72	28.6215
2.7	4.77	27.39	-0.39	33.5249
3.47	4.78	16.02	-1.17	25.6081
4.99	4.81	30.94	1.7	52.258
3.84	4.82	28.3	2.01	55.6501
4.43	4.83	28.95	0.81	45.4999
5.07	4.87	41.18	2.04	57.4009
7.05	4.9	47.37	2.15	58.199
2.22	4.97	48.81	2.23	59.0812
6.23	4.98	45.84	1.49	54.293
2.92	5.07	42.19	-0.72	34.5993
2.72	5.09	49.94	-0.49	37.2579
2.63	5.1	40.69	1.56	56.1987
3.77	5.12	23.06	0.12	44.2232
3.89	5.13	44.77	2.26	63.7667
3.17	5.17	30.38	0.02	44.0651
1.58	5.19	48.02	2.3	64.0339
1.77	5.21	38.42	-0.46	38.3268
2.87	5.23	34.29	1.84	61.1754
1.23	5.26	24.4	-0.65	36.5637
2.7	5.28	31.31	1.16	55.9906
4.01	5.29	27.72	0	46.368
4.68	5.35	31.95	0.37	51.5846
1.08	5.36	40.68	-1.6	25.6033
3.19	5.37	39.03	-0.41	42.5747
4.74	5.39	29.63	0.1	48.96
4.15	5.4	38.01	-0.54	40.76
6.72	5.4	33.21	0.51	53.695
2.74	5.43	46.02	2.41	70.496
1.15	5.43	49.18	0.54	51.989
2	5.46	32.72	0.29	50.4151
1.59	5.55	29	-1.14	35.3466
2.72	5.56	37.06	0.67	56.5528
2.44	5.57	48.55	-1.9	23.8903
3.77	5.57	43.18	-0.14	49.2743
6.7	5.6	45.81	1.42	68.0386
2.51	5.64	49.62	0.97	60.9937
4.23	5.67	37.47	-1.08	38.8347
1.72	5.67	25.38	-0.07	49.7865
1.53	5.68	25.02	-0.11	49.3939
2.48	5.68	41.98	-2.11	21.5413
3.28	5.69	48.22	-1.49	32.7376
4.52	5.72	34.26	0.13	55.1158
4.25	5.74	44.59	2.26	76.6715
6.89	5.78	48.11	0.49	59.8732
5.66	5.82	32.12	0.11	55.7907
1.64	5.82	45.21	-1.58	33.2955
5.89	5.85	31.73	-0.4	51.0819
2.21	5.89	24.27	-1.92	29.7338
3.21	5.9	45.11	-1.12	42.4457
6.12	5.9	27.37	-0.33	53.0757
1.1	5.93	45.63	1.36	70.247
1.1	6.02	28.5	-0.9	45.3775
6.41	6.05	49.01	0.8	70.4193
9.55	6.16	45.28	2.46	88.6615
2.38	6.2	41.65	-0.34	56.6863
4.72	6.21	25.24	-1.48	41.896
5.01	6.22	44.33	1.62	81.5127
9.63	6.22	43.47	0.71	72.5913
1.93	6.25	47.91	-0.93	49.6084
4.67	6.26	49.96	-0.92	52.4344
5.48	6.32	45.7	2.18	89.8946
1.85	6.37	48.81	-0.41	58.5555
2.65	6.38	31.13	-0.77	54.6377
1.09	6.46	46.46	-0.26	61.9387
4.4	6.47	27.25	-1.18	52.3518
8.33	6.48	43.15	0.25	71.9616
7.2	6.5	38.46	-1	55.7712
7.5	6.55	38.16	0.27	72.4506
3.68	6.57	42.06	-0.1	67.9675
6.94	6.59	47.57	-0.17	71.4018
4.11	6.59	38.38	-0.25	66.9238
5.95	6.6	35.47	-1.09	55.086
1.56	6.61	35.86	-0.18	66.0028
6.57	6.66	34.93	-0.79	60.502
8.96	6.67	46.94	0.44	77.8294
5.63	6.75	28.62	-1.23	55.1887
5.26	6.75	48.14	1.29	89.8987
4.85	6.81	46.87	-0.68	66.12
4.12	6.82	48.78	0.71	83.6252
3.72	6.88	41.62	-1.2	59.1542
6.36	6.91	27.88	-1.91	48.1012
1.37	6.97	35.52	-1.67	50.3548
3	7.03	41	-0.81	66.757
1.89	7.06	46.91	-1.76	50.9931
4.74	7.07	49.93	-1.29	63.1534
2.54	7.09	49.3	1.39	97.5564
6.03	7.2	49.15	-1.65	57.2319
3.74	7.22	43.71	-1.39	62.5163
7.95	7.34	48.51	-0.91	74.1819
1.41	7.46	44.75	-2.41	44.4167
5	7.58	32.65	-2.04	59.528
3.96	7.61	32.79	-2.21	56.035
5.65	7.67	41.94	-1.39	74.5785
5.59	7.75	44.22	-0.79	84.7311
3.11	7.79	45	-0.93	80.669
3.94	7.87	48.4	-0.95	82.9256
3.68	7.96	41.79	-2.32	60.1151
4.99	8.13	44.8	-1.63	78.4756
9.86	8.15	41.25	-1.44	82.3201
1.82	8.33	45.66	-1.27	85.9285
2.09	8.33	44.6	-2.15	68.8445
6.31	8.4	41.53	-1.9	79.3994
4.2	8.53	48.24	-1.94	80.041
6.63	8.54	43.06	-1.81	85.0508
2.5	2.34	38.56	2.3	18.2142
1.03	2.35	49.95	0.59	11.6195
1.73	2.43	27.15	2.09	18.1371
1.92	2.51	44.29	1.37	16.3985
2.1	2.56	28.42	1.07	15.8302
1.61	2.68	49.2	0.88	15.9078
1.88	2.76	26.2	2.34	23.7054
1.43	2.85	37.4	2.05	23.3664
2.27	2.86	27.01	0.63	16.9005
1.38	2.86	40.82	1.29	20.0513
2.11	3.05	45.37	0.43	17.6248
1.28	3.16	45.82	0.76	20.6546
3.15	3.19	29.04	1.53	25.591
2.19	3.25	47.97	0.84	22.0168
3.5	3.28	39.67	2.49	31.6285
2.08	3.35	38.54	1.4	26.9087
2.24	3.36	37.73	-0.38	16.0149
1.72	3.43	39.29	-0.75	13.5833
4.6	3.6	39.85	2.12	35.1857
3.73	3.71	38.25	1.73	33.8292
